frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
76,8.0,[1214.3943133185992 962.6185471290615 1655.3071167155056 1342.0396821352],[1371.076904296875 1184.697265625 1481.6180419921875 1251.636474609375],0.3361811339855194,KR35ZTR,0.07926568349488775
77,6.0,[1043.3259624263515 1282.2461122218579 1687.0488812027825 1789.9151913559408],[1280.242431640625 1602.3004150390625 1437.7935791015625 1680.5120849609375],0.6118959784507751,CX15OGJ,0.18347960334683758
77,8.0,[1212.2829041542598 966.831525669261 1652.0311024789364 1343.6840990861876],[1360.941650390625 1194.6724853515625 1470.520751953125 1257.944580078125],0.39470675587654114,KH13SZN,0.036738008936402854
79,8.0,[1210.501458366855 976.2358344343744 1650.1533362456983 1354.9481205212032],[1358.549560546875 1199.110595703125 1476.1923828125 1261.215576171875],0.304024338722229,KJ05ZTK,0.10477817709271471
80,6.0,[1029.3994062313564 1297.034976580694 1682.8499679976835 1810.645376736628],[1263.6240234375 1626.2691650390625 1437.6932373046875 1699.4820556640625],0.5648788809776306,GX15OGJ,0.20795544611266198
82,6.0,[1017.2266078047057 1308.0690224008831 1678.7972729453352 1825.256072071625],[1259.18212890625 1629.5833740234375 1439.969482421875 1705.9991455078125],0.5492703914642334,GX15OGJ,0.3596797843192387
84,8.0,[1202.291200810373 988.3445836829073 1646.171397723696 1369.2800857619432],[1354.4217529296875 1213.1033935546875 1480.69921875 1269.8851318359375],0.34411686658859253,RH45ZIK,0.08546950994074853
85,6.0,[1005.4641780768638 1328.0433527880662 1681.3863540784778 1853.5818826681345],[1257.9854736328125 1651.5076904296875 1428.01611328125 1730.6378173828125],0.6031016707420349,GX15OGJ,0.24028717602297384
85,8.0,[1200.5467620793993 990.1566825951493 1644.2566169568822 1371.9459562119953],[1357.144775390625 1217.8839111328125 1477.219482421875 1268.0223388671875],0.28374412655830383,IH35ZIK,0.10564404636230261
90,6.0,[994.4153709718439 1348.5561536076789 1686.6831817181 1885.6024040438301],[1242.651611328125 1690.484619140625 1424.929443359375 1761.3592529296875],0.572917103767395,GX15OGJ,0.3122096783473421
93,6.0,[979.0731979911754 1366.1686248025756 1685.307085218339 1907.39514088204],[1235.311279296875 1709.03173828125 1403.1285400390625 1785.23583984375],0.553281307220459,GX15OGJ,0.40036935370502524
93,1.0,[2060.55618068372 1078.7100545284768 2543.2008118384724 1501.838236478962],[2228.58935546875 1339.371826171875 2370.374267578125 1415.5357666015625],0.42169278860092163,XP05JEO,0.20580490305270915
94,6.0,[976.5982146567544 1367.5754312685385 1686.8701482318247 1910.3287920237644],[1234.0906982421875 1714.7109375 1396.0489501953125 1792.029052734375],0.5692922472953796,GX15OGJ,0.38795699742844075
94,1.0,[2058.7413529672635 1079.591135844537 2542.724706714285 1505.2091165842648],[2225.883056640625 1346.1578369140625 2367.54736328125 1416.0191650390625],0.3713279068470001,AP05JEO,0.1964666038145437
95,6.0,[971.5248473147125 1371.8433978477942 1684.3359193107913 1919.0182162399715],[1230.1673583984375 1726.51171875 1408.2103271484375 1803.2080078125],0.6087559461593628,GX15OGJ,0.3347077032868512
95,8.0,[1182.6490111555588 1008.3738410650174 1630.2637224902298 1409.8245243046047],[1343.170166015625 1243.397216796875 1472.03466796875 1313.489990234375],0.38118040561676025,NK15ZIK,0.10360020100926895
96,6.0,[969.2307809171916 1379.23547803394 1683.2806895572385 1929.070897310353],[1231.8172607421875 1732.638427734375 1391.0970458984375 1803.55224609375],0.5939146280288696,GX15OGJ,0.3205778534813996
96,8.0,[1180.1296429683603 1015.6947225917612 1630.0081090230728 1417.1595219800943],[1339.6724853515625 1246.5543212890625 1464.154541015625 1312.2547607421875],0.3813242018222809,KK35ZIK,0.03663792089483556
96,1.0,[2058.9896037465587 1086.476054022753 2546.7016083764474 1512.6302886784151],[2237.82275390625 1364.8895263671875 2357.66015625 1417.6480712890625],0.2999008297920227,AP05JEC,0.1724810132942278
97,8.0,[1179.0497595466568 1020.0726518189277 1631.1499115691086 1420.410228151599],[1339.31103515625 1247.603515625 1468.03076171875 1315.19287109375],0.42200738191604614,KK45ZIX,0.11987398495785735
98,8.0,[1178.130645533104 1022.203283905584 1633.469870529392 1423.090957114483],[1333.657470703125 1250.830810546875 1460.4769287109375 1311.150390625],0.4063257575035095,KK05ZIK,0.16510046380931914
99,6.0,[957.1100278141425 1399.151420235941 1679.4339055989767 1957.7362716187915],[1215.203369140625 1750.0155029296875 1406.7899169921875 1830.2779541015625],0.5943139791488647,GX15OGJ,0.527467828738692
99,1.0,[2055.176921486928 1092.1339772721624 2550.258359806764 1523.751413650438],[2247.153076171875 1364.58251953125 2383.599609375 1433.5037841796875],0.3662748336791992,AF05JEO,0.2748904428745548
102,6.0,[946.8543568447135 1418.1360263335882 1675.000199524858 1980.5133016036593],[1210.18994140625 1783.8160400390625 1379.177978515625 1852.8988037109375],0.5492659211158752,GY15OCJ,0.413794387410442
102,1.0,[2056.2774705927623 1100.013687353741 2557.3519511176273 1540.8610371268321],[2241.18310546875 1376.57763671875 2375.970703125 1444.346923828125],0.4105685353279114,AP05JEO,0.6368639513201337
103,6.0,[946.1561366481324 1424.684670307532 1673.743988596524 1988.6862114199794],[1209.12158203125 1781.6524658203125 1386.225341796875 1856.6121826171875],0.615915060043335,GX15OGJ,0.20801721804702944
103,1.0,[2055.830860676897 1103.7082932515264 2558.3034568523517 1546.2693790754693],[2231.597412109375 1389.1944580078125 2373.404541015625 1453.7926025390625],0.25859034061431885,AP05JEO,0.65077980254141
104,1.0,[2054.0251759922685 1107.48761500022 2558.540095685862 1550.0300563918495],[2234.721923828125 1394.5059814453125 2384.239990234375 1458.947021484375],0.33552300930023193,AP05JEQ,0.34323638639001175
